aqi,city,co,dominentpol,h,idx,no2,o3,p,pm10,pm25,so2,t,time,w
64,"{'url': 'http://aqicn.org/city/india/bangalore/city-railway-station/', 'name': 'City Railway Station, Bangalore', 'geo': ['12.9773472', '77.570697222222']}",4,,78,8686,7,nan,1014,64,nan,5,26,2018-04-20 01:00:00,3
72,"{'url': 'http://aqicn.org/city/india/bangalore/saneguravahalli/', 'name': 'SaneguravaHalli, Bangalore', 'geo': ['12.9916694', '77.545830555556']}",12,,48,8687,24,nan,1014,72,nan,2,28,2018-04-19 23:00:00,3
7,"{'url': 'http://aqicn.org/city/india/bangalore/btm/', 'name': 'BTM, Bangalore', 'geo': ['12.91281111', '77.60921944']}",4,o3,84,8190,5,7,1014,nan,4,5,21,2018-09-05 07:00:00,1
68,"{'url': 'http://aqicn.org/city/india/bangalore/peenya/', 'name': 'Peenya, Bangalore', 'geo': ['13.0339', '77.51321111']}",8,,75,3758,6,nan,1014,nan,68,6,23,2018-09-05 07:00:00,5
67,"{'url': 'http://aqicn.org/city/india/bangalore/bwssb/', 'name': 'BWSSB, Bangalore', 'geo': ['12.93890556', '77.69727222']}",9,,61,8191,8,nan,1014,nan,67,3,21,2018-09-05 07:00:00,1
