aqi,city,co,dominentpol,h,idx,no2,o3,p,pm10,pm25,so2,t,time,w,wg
64,"{'url': 'http://aqicn.org/city/india/bangalore/city-railway-station/', 'name': 'City Railway Station, Bangalore', 'geo': ['12.9773472', '77.570697222222']}",4.0,,78.0,8686,7.0,nan,1014,64,nan,5.0,26,2018-04-20 01:00:00,3.0,nan
72,"{'url': 'http://aqicn.org/city/india/bangalore/saneguravahalli/', 'name': 'SaneguravaHalli, Bangalore', 'geo': ['12.9916694', '77.545830555556']}",12.0,,48.0,8687,24.0,nan,1014,72,nan,2.0,28,2018-04-19 23:00:00,3.0,nan
8,"{'url': 'http://aqicn.org/city/india/bangalore/btm/', 'geo': [12.91281111, 77.60921944], 'name': 'BTM, Bangalore'}",3.6,o3,89.81,8190,4.4,8,911.1,nan,7,2.9,22.6,2018-07-21 21:00:00,1.3,nan
79,"{'url': 'http://aqicn.org/city/india/bangalore/peenya/', 'geo': [13.0339, 77.51321111], 'name': 'Peenya, Bangalore'}",5.7,pm25,77.61,3758,6.7,nan,nan,nan,79,2.2,24.39,2018-07-21 21:00:00,5.6,11.3
63,"{'url': 'http://aqicn.org/city/india/bangalore/bwssb/', 'geo': [12.93890556, 77.69727222], 'name': 'BWSSB, Bangalore'}",8.0,pm25,63.8,8191,8.8,nan,nan,nan,63,0.3,nan,2018-07-21 21:00:00,0.96,11.3
